Dep_Delay,Dep_Delay_Groups,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15
-7,-1,-22,0,0
-5,-1,-25,0,0
-9,-1,-30,0,0
6,0,14,14,0
-2,-1,-2,0,0
-5,-1,-28,0,0
-4,-1,-19,0,0
0,0,-37,0,0
-4,-1,-9,0,0
3,0,-13,0,0
-6,-1,-3,0,0
10,0,15,15,1
-6,-1,-12,0,0
-2,-1,15,15,1
25,1,53,53,1
11,0,-14,0,0
-4,-1,-15,0,0
-6,-1,-20,0,0
-3,-1,17,17,1
-4,-1,-16,0,0
0,0,7,7,0
7,0,-3,0,0
-1,-1,-18,0,0
18,1,55,55,1
30,2,41,41,1
-7,-1,4,4,0
-5,-1,-3,0,0
-7,-1,-21,0,0
-5,-1,-9,0,0
9,0,6,6,0
-2,-1,-17,0,0
-2,-1,3,3,0
23,1,36,36,1
-5,-1,-29,0,0
13,0,10,10,0
4,0,15,15,1
4,0,5,5,0
-6,-1,-18,0,0
-4,-1,-6,0,0
-1,-1,7,7,0
-8,-1,0,0,0
-3,-1,-21,0,0
-5,-1,-21,0,0
18,1,54,54,1
6,0,14,14,0
18,1,9,9,0
-4,-1,5,5,0
17,1,20,20,1
-2,-1,3,3,0
-5,-1,-6,0,0
34,2,25,25,1
22,1,-6,0,0
-3,-1,13,13,0
-4,-1,12,12,0
-2,-1,6,6,0
-2,-1,-4,0,0
-9,-1,-16,0,0
20,1,41,41,1
-5,-1,46,46,1
0,0,-38,0,0
-5,-1,-35,0,0
-4,-1,-13,0,0
-4,-1,-20,0,0
-3,-1,-12,0,0
7,0,-14,0,0
0,0,-25,0,0
6,0,9,9,0
54,3,44,44,1
-4,-1,5,5,0
-1,-1,12,12,0
2,0,-8,0,0
41,2,37,37,1
-4,-1,25,25,1
-8,-1,6,6,0
12,0,27,27,1
27,1,21,21,1
-9,-1,-11,0,0
19,1,3,3,0
2,0,10,10,0
-2,-1,-1,0,0
-3,-1,-1,0,0
-5,-1,-4,0,0
-4,-1,2,2,0
32,2,20,20,1
-8,-1,-4,0,0
-3,-1,-17,0,0
-9,-1,23,23,1
-3,-1,-5,0,0
-2,-1,-20,0,0
-12,-1,-28,0,0
-6,-1,-22,0,0
-9,-1,-28,0,0
-3,-1,-3,0,0
1,0,7,7,0
-4,-1,-25,0,0
-4,-1,-26,0,0
12,0,-3,0,0
-2,-1,-28,0,0
-4,-1,-17,0,0
-1,-1,-32,0,0
3,0,-13,0,0
8,0,-3,0,0
0,0,-21,0,0
-7,-1,-18,0,0
-3,-1,-20,0,0
-3,-1,-15,0,0
20,1,16,16,1
-1,-1,-15,0,0
-5,-1,33,33,1
-3,-1,-12,0,0
3,0,-7,0,0
0,0,-8,0,0
16,1,19,19,1
-8,-1,-2,0,0
47,3,41,41,1
-3,-1,-13,0,0
-6,-1,-13,0,0
-6,-1,-13,0,0
32,2,19,19,1
-4,-1,-21,0,0
-9,-1,-18,0,0
-9,-1,-15,0,0
-3,-1,-7,0,0
-2,-1,-12,0,0
-2,-1,-9,0,0
-5,-1,-5,0,0
-4,-1,-12,0,0
15,1,12,12,0
-8,-1,6,6,0
-5,-1,-12,0,0
31,2,19,19,1
-4,-1,-6,0,0
6,0,-1,0,0
-6,-1,9,9,0
1,0,7,7,0
-2,-1,-6,0,0
-4,-1,-13,0,0
42,2,47,47,1
-4,-1,-1,0,0
19,1,12,12,0
46,3,34,34,1
-2,-1,-5,0,0
8,0,-1,0,0
1,0,-4,0,0
-3,-1,0,0,0
3,0,-6,0,0
1,0,5,5,0
-5,-1,-7,0,0
20,1,8,8,0
20,1,27,27,1
6,0,-8,0,0
29,1,15,15,1
-2,-1,-14,0,0
-2,-1,-10,0,0
3,0,-13,0,0
40,2,20,20,1
0,0,-18,0,0
3,0,-15,0,0
2,0,-12,0,0
24,1,20,20,1
-4,-1,-2,0,0
7,0,33,33,1
6,0,-2,0,0
3,0,-4,0,0
19,1,1,1,0
43,2,39,39,1
-3,-1,-4,0,0
-7,-1,-24,0,0
-6,-1,0,0,0
45,3,31,31,1
-2,-1,-7,0,0
-6,-1,-13,0,0
-2,-1,14,14,0
-5,-1,17,17,1
-8,-1,-3,0,0
-6,-1,-13,0,0
-3,-1,24,24,1
5,0,37,37,1
8,0,-2,0,0
-5,-1,6,6,0
1,0,-7,0,0
-10,-1,5,5,0
-6,-1,-4,0,0
-6,-1,16,16,1
15,1,8,8,0
19,1,11,11,0
0,0,35,35,1
-6,-1,15,15,1
-7,-1,23,23,1
-6,-1,42,42,1
-4,-1,1,1,0
-3,-1,13,13,0
33,2,51,51,1
-5,-1,-3,0,0
-6,-1,-13,0,0
5,0,-4,0,0
3,0,-9,0,0
4,0,-3,0,0
0,0,-3,0,0
1,0,13,13,0
47,3,49,49,1
-3,-1,-6,0,0
-1,-1,-15,0,0
-4,-1,-14,0,0
0,0,19,19,1
1,0,13,13,0
-3,-1,5,5,0
-5,-1,-14,0,0
-3,-1,-8,0,0
-5,-1,-8,0,0
12,0,8,8,0
7,0,0,0,0
1,0,21,21,1
-2,-1,-8,0,0
6,0,0,0,0
1,0,-8,0,0
-8,-1,-12,0,0
-4,-1,-2,0,0
23,1,20,20,1
22,1,56,56,1
7,0,10,10,0
1,0,-1,0,0
-1,-1,7,7,0
-4,-1,3,3,0
-3,-1,-15,0,0
0,0,4,4,0
41,2,18,18,1
-3,-1,-19,0,0
9,0,-3,0,0
-6,-1,-27,0,0
0,0,-1,0,0
0,0,18,18,1
-5,-1,-7,0,0
1,0,7,7,0
7,0,-29,0,0
5,0,-33,0,0
13,0,18,18,1
-7,-1,-16,0,0
1,0,-1,0,0
0,0,-2,0,0
38,2,5,5,0
16,1,-13,0,0
12,0,-9,0,0
3,0,-8,0,0
3,0,2,2,0
1,0,-32,0,0
16,1,5,5,0
-2,-1,-10,0,0
1,0,30,30,1
9,0,-8,0,0
-2,-1,-15,0,0
-2,-1,-11,0,0
8,0,-9,0,0
-4,-1,-21,0,0
-6,-1,-25,0,0
-1,-1,13,13,0
-7,-1,-12,0,0
-3,-1,-23,0,0
-1,-1,-11,0,0
-7,-1,-25,0,0
-9,-1,-37,0,0
-8,-1,22,22,1
-5,-1,-30,0,0
-5,-1,-31,0,0
-6,-1,-12,0,0
5,0,8,8,0
-3,-1,-6,0,0
-1,-1,15,15,1
-3,-1,4,4,0
-5,-1,-10,0,0
-4,-1,-7,0,0
-4,-1,-2,0,0
-11,-1,-16,0,0
-7,-1,-26,0,0
-6,-1,-24,0,0
-5,-1,-12,0,0
-7,-1,-35,0,0
1,0,-2,0,0
16,1,13,13,0
1,0,7,7,0
33,2,18,18,1
33,2,40,40,1
1,0,6,6,0
-6,-1,-4,0,0
-5,-1,-5,0,0
26,1,16,16,1
-9,-1,-6,0,0
-4,-1,-1,0,0
