Dep_Delay,Dep_Delay_Groups,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15
0,0,-13,0,0
73,4,83,83,1
574,12,581,581,1
38,2,30,30,1
-6,-1,-10,0,0
-6,-1,-1,0,0
-6,-1,-1,0,0
11,0,-11,0,0
64,4,52,52,1
-6,-1,-19,0,0
-3,-1,-20,0,0
-2,-1,8,8,0
-2,-1,23,23,1
-5,-1,-31,0,0
-8,-1,-6,0,0
-4,-1,-9,0,0
-2,-1,-8,0,0
-11,-1,-18,0,0
-5,-1,-9,0,0
-4,-1,-9,0,0
-4,-1,-14,0,0
-6,-1,-9,0,0
-6,-1,-13,0,0
-7,-1,5,5,0
-6,-1,-19,0,0
-3,-1,-2,0,0
156,10,145,145,1
-2,-1,-11,0,0
-6,-1,-18,0,0
-2,-1,8,8,0
-5,-1,-29,0,0
-3,-1,-28,0,0
-3,-1,-24,0,0
-4,-1,3,3,0
-6,-1,-20,0,0
-8,-1,-9,0,0
-5,-1,-12,0,0
-3,-1,-2,0,0
2,0,12,12,0
219,12,263,263,1
-3,-1,7,7,0
33,2,89,89,1
0,0,-14,0,0
-7,-1,-40,0,0
-4,-1,-28,0,0
-2,-1,-12,0,0
-8,-1,-22,0,0
12,0,3,3,0
2,0,79,79,1
-5,-1,-8,0,0
-5,-1,-32,0,0
-1,-1,10,10,0
7,0,-16,0,0
0,0,33,33,1
5,0,-28,0,0
18,1,-28,0,0
-7,-1,-36,0,0
31,2,-15,0,0
13,0,-4,0,0
6,0,-21,0,0
-5,-1,-30,0,0
46,3,52,52,1
0,0,-6,0,0
-6,-1,-13,0,0
30,2,10,10,0
27,1,39,39,1
-1,-1,-19,0,0
-11,-1,-29,0,0
16,1,52,52,1
-7,-1,32,32,1
-2,-1,61,61,1
87,5,75,75,1
80,5,50,50,1
1,0,-8,0,0
-2,-1,-19,0,0
-1,-1,-19,0,0
-4,-1,-26,0,0
-3,-1,-8,0,0
17,1,86,86,1
5,0,22,22,1
57,3,53,53,1
-5,-1,-6,0,0
-4,-1,-14,0,0
0,0,-18,0,0
10,0,7,7,0
0,0,7,7,0
12,0,-5,0,0
9,0,-2,0,0
34,2,90,90,1
15,1,13,13,0
-5,-1,-21,0,0
9,0,-10,0,0
9,0,7,7,0
-4,-1,-17,0,0
-1,-1,-1,0,0
166,11,126,126,1
-3,-1,-4,0,0
0,0,45,45,1
27,1,79,79,1
0,0,-16,0,0
38,2,66,66,1
22,1,25,25,1
41,2,107,107,1
125,8,97,97,1
18,1,-11,0,0
-5,-1,-19,0,0
0,0,-22,0,0
-1,-1,-20,0,0
9,0,9,9,0
-2,-1,12,12,0
1,0,10,10,0
-6,-1,-37,0,0
-6,-1,-1,0,0
-4,-1,-30,0,0
-4,-1,-11,0,0
0,0,-13,0,0
-1,-1,-32,0,0
-4,-1,-15,0,0
135,9,104,104,1
16,1,-4,0,0
-4,-1,-15,0,0
3,0,-8,0,0
27,1,64,64,1
-4,-1,-11,0,0
-6,-1,14,14,0
-2,-1,-27,0,0
